fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
2105,6.80,0.320,0.34,6.00,0.050,5.0,129.0,0.995300,3.19,0.40,9.100000,5
2106,8.50,0.240,0.47,15.20,0.057,40.0,234.0,1.000500,3.02,0.66,9.000000,5
2107,8.10,0.240,0.33,10.20,0.048,46.0,141.0,0.997200,3.16,0.48,10.300000,6
2108,7.40,0.180,0.36,13.10,0.056,72.0,163.0,1.000000,3.42,0.35,9.100000,6
2109,7.70,0.230,0.31,10.70,0.038,59.0,186.0,0.996900,3.12,0.55,9.500000,6
2110,6.50,0.220,0.25,17.10,0.050,44.0,138.0,1.000100,3.30,0.37,8.800000,5
2111,6.50,0.220,0.25,17.10,0.050,44.0,138.0,1.000100,3.30,0.37,8.800000,5
2112,6.50,0.220,0.25,17.10,0.050,44.0,138.0,1.000100,3.30,0.37,8.800000,5
2113,5.70,0.330,0.15,1.90,0.050,20.0,93.0,0.993400,3.38,0.62,9.900000,5
2114,7.70,0.230,0.31,10.70,0.038,59.0,186.0,0.996900,3.12,0.55,9.500000,6
2115,6.50,0.220,0.25,17.10,0.050,44.0,138.0,1.000100,3.30,0.37,8.800000,5
2116,6.80,0.200,0.27,1.20,0.034,19.0,68.0,0.990200,3.14,0.37,11.700000,4
2117,7.70,0.260,0.32,1.20,0.040,26.0,117.0,0.993000,3.21,0.56,10.800000,5
2118,6.40,0.200,0.32,3.10,0.041,18.0,126.0,0.991400,3.43,0.42,12.000000,6
2119,8.00,0.160,0.36,1.50,0.033,14.0,122.0,0.994100,3.20,0.39,10.300000,4
2120,6.80,0.250,0.27,10.70,0.076,47.0,154.0,0.996700,3.05,0.38,9.000000,5
2121,7.70,0.390,0.28,4.90,0.035,36.0,109.0,0.991800,3.19,0.58,12.200000,7
2122,6.90,0.260,0.33,12.60,0.051,59.0,173.0,0.998000,3.39,0.38,9.900000,5
2123,6.80,0.250,0.27,10.70,0.076,47.0,154.0,0.996700,3.05,0.38,9.000000,5
2124,7.70,0.390,0.28,4.90,0.035,36.0,109.0,0.991800,3.19,0.58,12.200000,7
2125,6.00,0.280,0.22,12.15,0.048,42.0,163.0,0.995700,3.20,0.46,10.100000,5
2126,6.50,0.430,0.28,12.00,0.056,23.0,174.0,0.998600,3.31,0.55,9.300000,5
2127,9.10,0.330,0.38,1.70,0.062,50.5,344.0,0.995800,3.10,0.70,9.500000,5
2128,5.90,0.500,0.05,2.60,0.054,36.0,146.0,0.994800,3.43,0.50,9.200000,6
2129,6.80,0.280,0.39,1.40,0.036,15.0,115.0,0.991800,3.27,0.72,11.700000,5
2130,7.00,0.350,0.24,1.90,0.040,21.0,144.0,0.992300,3.35,0.38,11.000000,5
2131,7.10,0.220,0.32,16.90,0.056,49.0,158.0,0.999800,3.37,0.38,9.600000,6
2132,7.10,0.220,0.32,16.90,0.056,49.0,158.0,0.999800,3.37,0.38,9.600000,6
2133,8.30,0.240,0.27,2.10,0.030,22.0,162.0,0.991400,2.99,0.68,11.900000,6
2134,6.80,0.260,0.32,7.00,0.041,38.0,118.0,0.993900,3.25,0.52,10.800000,6
2135,7.20,0.160,0.26,7.10,0.054,41.0,224.0,0.996600,3.38,0.55,10.100000,5
2136,7.90,0.180,0.36,5.90,0.058,31.0,132.0,0.995000,3.25,0.52,10.900000,6
2137,7.20,0.160,0.26,7.10,0.054,41.0,224.0,0.996600,3.38,0.55,10.100000,5
2138,5.50,0.240,0.32,8.70,0.060,19.0,102.0,0.994000,3.27,0.31,10.400000,5
2139,7.10,0.330,0.64,13.20,0.056,12.0,105.0,0.997200,3.05,0.39,9.200000,5
2140,7.70,0.280,0.35,15.30,0.056,31.0,117.0,0.999800,3.27,0.50,9.600000,5
2141,7.70,0.280,0.35,15.30,0.056,31.0,117.0,0.999800,3.27,0.50,9.600000,5
2142,7.50,0.260,0.52,13.20,0.047,64.0,179.0,0.998200,3.10,0.46,9.000000,5
2143,6.50,0.140,0.32,2.70,0.037,18.0,89.0,0.992400,3.40,0.74,11.500000,7
2144,8.20,0.210,0.32,10.65,0.053,53.0,145.0,0.997200,3.17,0.48,10.200000,6
2145,7.20,0.200,0.31,10.00,0.054,49.0,165.0,0.997000,3.40,0.42,9.900000,6
2146,7.20,0.115,0.30,6.80,0.056,26.0,105.0,0.995400,3.44,0.40,9.600000,6
2147,6.40,0.290,0.20,15.60,0.040,20.0,142.0,0.996200,3.10,0.54,10.600000,5
2148,7.10,0.330,0.64,13.20,0.056,12.0,105.0,0.997200,3.05,0.39,9.200000,5
2149,6.80,0.240,0.34,5.10,0.038,31.0,99.0,0.992100,3.24,0.46,11.800000,6
2150,7.00,0.240,0.34,3.00,0.035,36.0,102.0,0.990500,3.18,0.43,12.200000,6
2151,7.70,0.280,0.35,15.30,0.056,31.0,117.0,0.999800,3.27,0.50,9.600000,5
2152,7.00,0.220,0.33,2.10,0.052,15.0,76.0,0.993000,3.20,0.41,10.600000,6
2153,7.50,0.180,0.39,1.90,0.054,23.0,91.0,0.994100,3.27,0.45,10.300000,6
2154,9.80,0.930,0.45,8.60,0.052,34.0,187.0,0.999400,3.12,0.59,10.200000,4
2155,7.80,0.290,0.33,8.75,0.035,33.0,181.0,0.996200,3.11,0.46,10.700000,5
2156,7.90,0.280,0.32,3.60,0.038,9.0,76.0,0.992000,3.05,0.31,11.700000,4
2157,8.50,0.250,0.27,4.70,0.031,31.0,92.0,0.992200,3.01,0.33,12.000000,6
2158,7.40,0.180,0.27,1.30,0.048,26.0,105.0,0.994000,3.52,0.66,10.600000,6
2159,6.30,0.240,0.37,1.80,0.031,6.0,61.0,0.989700,3.30,0.34,12.200000,4
2160,6.00,0.330,0.38,9.70,0.040,29.0,124.0,0.995400,3.47,0.48,11.000000,6
2161,6.80,0.370,0.28,4.00,0.030,29.0,79.0,0.990000,3.23,0.46,12.400000,7
2162,9.90,0.490,0.23,2.40,0.087,19.0,115.0,0.994800,2.77,0.44,9.400000,6
2163,8.50,0.250,0.27,4.70,0.031,31.0,92.0,0.992200,3.01,0.33,12.000000,6
2164,8.40,0.220,0.28,18.80,0.028,55.0,130.0,0.998000,2.96,0.35,11.600000,5
2165,7.00,0.350,0.31,1.80,0.069,15.0,162.0,0.994400,3.18,0.47,9.400000,5
2166,7.00,0.350,0.31,1.80,0.069,15.0,162.0,0.994400,3.18,0.47,9.400000,5
2167,7.40,0.190,0.30,12.80,0.053,48.5,229.0,0.998600,3.14,0.49,9.100000,7
2168,7.40,0.190,0.30,12.80,0.053,48.5,229.0,0.998600,3.14,0.49,9.100000,7
2169,7.40,0.190,0.30,12.80,0.053,48.5,229.0,0.998600,3.14,0.49,9.100000,7
2170,7.40,0.190,0.30,12.80,0.053,48.5,229.0,0.998600,3.14,0.49,9.100000,7
2171,7.40,0.190,0.30,12.80,0.053,48.5,229.0,0.998600,3.14,0.49,9.100000,7
2172,6.90,0.320,0.13,7.80,0.042,11.0,117.0,0.996000,3.23,0.37,9.200000,5
2173,7.60,0.320,0.58,16.75,0.050,43.0,163.0,0.999900,3.15,0.54,9.200000,5
2174,7.40,0.190,0.30,12.80,0.053,48.5,229.0,0.998600,3.14,0.49,9.100000,7
2175,7.40,0.190,0.30,12.80,0.053,48.5,212.0,0.998600,3.14,0.49,9.100000,7
2176,6.90,0.320,0.13,7.80,0.042,11.0,117.0,0.996000,3.23,0.37,9.200000,5
2177,6.00,0.340,0.24,5.40,0.060,23.0,126.0,0.995100,3.25,0.44,9.000000,7
2178,7.60,0.320,0.58,16.75,0.050,43.0,163.0,0.999900,3.15,0.54,9.200000,5
2179,7.70,0.240,0.31,1.30,0.047,33.0,106.0,0.993000,3.22,0.55,10.800000,6
2180,8.00,0.360,0.43,10.10,0.053,29.0,146.0,0.998200,3.40,0.46,9.500000,6
2181,7.40,0.290,0.25,3.80,0.044,30.0,114.0,0.992000,3.11,0.40,11.000000,6
2182,6.60,0.320,0.27,10.90,0.041,37.0,146.0,0.996300,3.24,0.47,10.000000,5
2183,6.30,0.300,0.24,6.60,0.040,38.0,141.0,0.995000,3.22,0.47,9.500000,5
2184,6.40,0.330,0.24,9.80,0.041,29.0,109.0,0.995600,3.29,0.47,10.100000,6
2185,7.50,0.180,0.31,11.70,0.051,24.0,94.0,0.997000,3.19,0.44,9.500000,7
2186,6.50,0.390,0.81,1.20,0.217,14.0,74.0,0.993600,3.08,0.53,9.500000,5
2187,6.80,0.250,0.18,1.40,0.056,13.0,137.0,0.993500,3.11,0.42,9.500000,5
2188,6.40,0.180,0.32,9.60,0.052,24.0,90.0,0.996300,3.35,0.49,9.400000,6
2189,7.10,0.180,0.32,12.20,0.048,36.0,125.0,0.996700,2.92,0.54,9.400000,6
2190,7.60,0.270,0.42,2.60,0.044,29.0,110.0,0.991200,3.31,0.51,12.700000,6
2191,9.20,0.230,0.35,10.70,0.037,34.0,145.0,0.998100,3.09,0.32,9.700000,5
2192,7.90,0.280,0.41,4.90,0.058,31.0,153.0,0.996600,3.27,0.51,9.700000,6
2193,7.10,0.180,0.32,12.20,0.048,36.0,125.0,0.996700,2.92,0.54,9.400000,6
2194,6.40,0.180,0.32,9.60,0.052,24.0,90.0,0.996300,3.35,0.49,9.400000,6
2195,6.80,0.250,0.18,1.40,0.056,13.0,137.0,0.993500,3.11,0.42,9.500000,5
2196,7.00,0.220,0.26,1.10,0.037,20.0,71.0,0.990200,3.10,0.38,11.700000,6
2197,7.30,0.180,0.29,1.00,0.036,26.0,101.0,0.990000,3.09,0.37,11.700000,6
2198,7.10,0.260,0.19,8.20,0.051,53.0,187.0,0.996000,3.16,0.52,9.700000,5
2199,6.60,0.250,0.42,11.30,0.049,77.0,231.0,0.996600,3.24,0.52,9.500000,6
2200,6.40,0.240,0.23,7.30,0.069,31.0,157.0,0.996200,3.25,0.53,9.100000,5
2201,6.00,0.280,0.27,2.30,0.051,23.0,147.0,0.994000,3.23,0.67,10.300000,6
2202,7.10,0.260,0.19,8.20,0.051,53.0,187.0,0.996000,3.16,0.52,9.700000,5
2203,7.80,0.240,0.38,2.10,0.058,14.0,167.0,0.994000,3.21,0.55,9.900000,5
2204,7.60,0.270,0.33,2.00,0.059,19.0,175.0,0.994400,3.22,0.56,9.900000,5
2205,7.70,0.390,0.34,10.00,0.056,35.0,178.0,0.997400,3.26,0.60,10.200000,5
2206,8.90,0.240,0.33,15.75,0.035,16.0,132.0,0.996000,3.00,0.37,12.100000,6
2207,6.60,0.230,0.24,3.90,0.045,36.0,138.0,0.992200,3.15,0.64,11.300000,7
2208,7.10,0.260,0.30,2.00,0.031,13.0,128.0,0.991700,3.19,0.49,11.400000,5
2209,7.00,0.320,0.35,1.50,0.039,24.0,125.0,0.991800,3.17,0.64,12.200000,6
2210,7.40,0.240,0.26,1.60,0.058,53.0,150.0,0.993600,3.18,0.50,9.900000,7
2211,6.90,0.210,0.33,1.40,0.056,35.0,136.0,0.993800,3.63,0.78,10.300000,6
2212,7.00,0.320,0.35,1.50,0.039,24.0,125.0,0.991800,3.17,0.64,12.200000,6
2213,7.40,0.170,0.29,1.40,0.047,23.0,107.0,0.993900,3.52,0.65,10.400000,6
2214,7.10,0.260,0.30,2.00,0.031,13.0,128.0,0.991700,3.19,0.49,11.400000,5
2215,8.50,0.280,0.34,13.80,0.041,32.0,161.0,0.998100,3.13,0.40,9.900000,6
2216,7.80,0.300,0.37,1.30,0.051,16.0,96.0,0.994100,3.32,0.62,10.000000,5
2217,8.10,0.250,0.38,3.80,0.051,18.0,129.0,0.992800,3.21,0.38,11.500000,6
2218,7.70,0.280,0.29,6.90,0.041,29.0,163.0,0.995200,3.44,0.60,10.500000,6
2219,6.50,0.240,0.36,2.20,0.027,36.0,134.0,0.989800,3.28,0.36,12.500000,7
2220,7.00,0.220,0.32,1.60,0.045,40.0,120.0,0.991400,2.98,0.44,10.500000,6
2221,8.50,0.280,0.34,13.80,0.041,32.0,161.0,0.998100,3.13,0.40,9.900000,6
2222,8.00,0.450,0.28,10.80,0.051,25.0,157.0,0.995700,3.06,0.47,11.400000,7
2223,6.90,0.230,0.33,12.80,0.056,44.0,169.0,0.998000,3.42,0.42,9.800000,6
2224,8.00,0.450,0.28,10.80,0.051,25.0,157.0,0.995700,3.06,0.47,11.400000,7
2225,7.60,0.230,0.26,15.30,0.067,32.0,166.0,0.998600,3.03,0.44,9.200000,4
2226,7.70,0.280,0.58,12.10,0.046,60.0,177.0,0.998300,3.08,0.46,8.900000,5
2227,7.70,0.270,0.61,12.00,0.046,64.0,179.0,0.998200,3.07,0.46,8.900000,5
2228,7.10,0.200,0.36,11.60,0.042,45.0,124.0,0.997000,2.92,0.59,9.500000,7
2229,6.90,0.250,0.35,9.20,0.034,42.0,150.0,0.994700,3.21,0.36,11.500000,6
2230,7.10,0.200,0.36,11.60,0.042,45.0,124.0,0.997000,2.92,0.59,9.500000,7
2231,6.90,0.250,0.35,9.20,0.034,42.0,150.0,0.994700,3.21,0.36,11.500000,6
2232,8.40,0.200,0.31,2.80,0.054,16.0,89.0,0.994160,2.96,0.45,9.500000,6
2233,6.50,0.390,0.35,1.60,0.049,10.0,164.0,0.995160,3.35,0.51,9.700000,5
2234,7.20,0.230,0.38,6.10,0.067,20.0,90.0,0.994960,3.17,0.79,9.700000,5
2235,6.90,0.440,0.42,8.50,0.048,10.0,147.0,0.997400,3.32,0.46,9.500000,6
2236,7.10,0.280,0.19,7.80,0.040,48.0,184.0,0.995790,3.16,0.50,9.400000,5
2237,6.40,0.340,0.20,14.90,0.060,37.0,162.0,0.998300,3.13,0.45,9.000000,4
2238,6.10,0.150,0.29,6.20,0.046,39.0,151.0,0.994710,3.60,0.44,10.600000,6
2239,6.90,0.440,0.42,8.50,0.048,10.0,147.0,0.997400,3.32,0.46,9.500000,6
2240,7.20,0.290,0.18,8.20,0.042,41.0,180.0,0.996440,3.16,0.49,9.100000,5
2241,7.10,0.280,0.19,7.80,0.040,48.0,184.0,0.995790,3.16,0.50,9.400000,5
2242,6.10,0.230,0.45,10.60,0.094,49.0,169.0,0.996990,3.05,0.54,8.800000,5
2243,6.70,0.230,0.42,11.20,0.047,52.0,171.0,0.997580,3.54,0.74,10.400000,5
2244,7.00,0.360,0.14,11.60,0.043,35.0,228.0,0.997700,3.13,0.51,8.900000,5
2245,7.50,0.310,0.24,7.10,0.031,28.0,141.0,0.993970,3.16,0.38,10.600000,7
2246,6.40,0.340,0.20,14.90,0.060,37.0,162.0,0.998300,3.13,0.45,9.000000,4
2247,6.10,0.150,0.29,6.20,0.046,39.0,151.0,0.994710,3.60,0.44,10.600000,6
2248,7.40,0.200,0.29,1.70,0.047,16.0,100.0,0.992430,3.28,0.45,10.600000,6
2249,6.30,0.270,0.18,7.70,0.048,45.0,186.0,0.996200,3.23,0.47,9.000000,5
2250,9.20,0.340,0.54,17.30,0.060,46.0,235.0,1.001820,3.08,0.61,8.800000,6
2251,7.40,0.180,0.29,1.40,0.042,34.0,101.0,0.993840,3.54,0.60,10.500000,7
2252,7.20,0.290,0.20,7.70,0.046,51.0,174.0,0.995820,3.16,0.52,9.500000,5
2253,6.30,0.270,0.18,7.70,0.048,45.0,186.0,0.996200,3.23,0.47,9.000000,5
2254,6.20,0.260,0.19,3.40,0.049,47.0,172.0,0.992400,3.14,0.43,10.400000,6
2255,7.30,0.210,0.21,1.60,0.046,35.0,133.0,0.994660,3.38,0.46,10.000000,6
2256,7.10,0.140,0.35,1.40,0.039,24.0,128.0,0.992120,2.97,0.68,10.400000,5
2257,7.20,0.390,0.54,1.40,0.157,34.0,132.0,0.994490,3.11,0.53,9.000000,6
2258,7.60,0.480,0.28,10.40,0.049,57.0,205.0,0.997480,3.24,0.45,9.300000,5
2259,7.20,0.390,0.54,1.40,0.157,34.0,132.0,0.994490,3.11,0.53,9.000000,6
2260,7.60,0.480,0.28,10.40,0.049,57.0,205.0,0.997480,3.24,0.45,9.300000,5
2261,6.50,0.360,0.31,4.10,0.061,20.0,134.0,0.994750,3.18,0.45,9.000000,6
2262,8.50,0.250,0.31,2.80,0.032,11.0,61.0,0.991890,3.06,0.44,11.500000,6
2263,6.90,0.300,0.21,15.70,0.056,49.0,159.0,0.998270,3.11,0.48,9.000000,5
2264,6.60,0.190,0.43,10.90,0.045,53.0,154.0,0.997520,3.52,0.77,10.400000,6
2265,6.90,0.300,0.21,15.70,0.056,49.0,159.0,0.998270,3.11,0.48,9.000000,5
2266,9.40,0.420,0.32,6.50,0.027,20.0,167.0,0.994790,3.08,0.43,10.600000,5
2267,6.60,0.190,0.43,10.90,0.045,53.0,154.0,0.997520,3.52,0.77,10.400000,6
2268,6.30,0.200,0.30,5.90,0.034,35.0,152.0,0.996420,3.47,0.40,8.500000,6
2269,8.50,0.190,0.56,17.30,0.055,47.0,169.0,1.000470,3.07,0.67,9.300000,6
2270,7.30,0.190,0.25,1.40,0.051,41.0,107.0,0.993820,3.53,0.66,10.500000,7
2271,6.70,0.250,0.26,13.50,0.060,50.0,156.0,0.997840,3.39,0.46,9.900000,6
2272,6.20,0.250,0.28,8.50,0.035,28.0,108.0,0.994860,3.40,0.42,10.400000,6
2273,6.10,0.460,0.32,6.20,0.053,10.0,94.0,0.995370,3.35,0.47,10.100000,5
2274,7.30,0.190,0.25,1.40,0.051,41.0,107.0,0.993820,3.53,0.66,10.500000,7
2275,7.50,0.290,0.26,14.95,0.067,47.0,178.0,0.998380,3.04,0.49,9.200000,4
2276,6.70,0.310,0.18,7.70,0.043,57.0,200.0,0.995660,3.17,0.44,9.400000,6
2277,7.40,0.140,0.30,1.30,0.033,25.0,91.0,0.992680,3.53,0.39,10.600000,6
2278,6.70,0.310,0.18,7.70,0.043,57.0,200.0,0.995660,3.17,0.44,9.400000,6
2279,7.10,0.400,0.52,1.30,0.148,45.0,149.0,0.994680,3.08,0.56,8.700000,5
2280,6.40,0.160,0.25,1.30,0.047,20.0,77.0,0.993300,3.61,0.54,10.200000,6
2281,6.30,0.160,0.22,1.30,0.046,18.0,66.0,0.993070,3.61,0.55,10.300000,6
2282,7.40,0.330,0.26,15.60,0.049,67.0,210.0,0.999070,3.06,0.68,9.500000,5
2283,7.40,0.330,0.26,15.60,0.049,67.0,210.0,0.999070,3.06,0.68,9.500000,5
2284,7.40,0.330,0.26,15.60,0.049,67.0,210.0,0.999070,3.06,0.68,9.500000,5
2285,7.40,0.330,0.26,15.60,0.049,67.0,210.0,0.999070,3.06,0.68,9.500000,5
2286,6.60,0.410,0.24,4.90,0.158,47.0,144.0,0.994710,3.17,0.49,9.400000,5
2287,6.70,0.430,0.23,5.00,0.157,49.0,145.0,0.994710,3.17,0.49,9.400000,5
2288,7.40,0.330,0.26,15.60,0.049,67.0,210.0,0.999070,3.06,0.68,9.500000,5
2289,7.30,0.400,0.28,6.50,0.037,26.0,97.0,0.991480,3.16,0.58,12.600000,7
2290,7.40,0.180,0.24,1.40,0.047,21.0,106.0,0.993830,3.52,0.64,10.500000,7
2291,8.60,0.170,0.28,2.70,0.047,38.0,150.0,0.993650,3.10,0.56,10.800000,6
2292,6.50,0.320,0.23,1.20,0.054,39.0,208.0,0.992720,3.18,0.46,9.900000,6
2293,7.30,0.400,0.28,6.50,0.037,26.0,97.0,0.991480,3.16,0.58,12.600000,7
2294,7.00,0.320,0.31,6.40,0.031,38.0,115.0,0.992350,3.38,0.58,12.200000,7
2295,7.50,0.420,0.19,6.90,0.041,62.0,150.0,0.995080,3.23,0.37,10.000000,6
2296,6.90,0.280,0.31,7.20,0.040,47.0,168.0,0.994600,3.29,0.57,10.600000,7
2297,6.50,0.290,0.42,10.60,0.042,66.0,202.0,0.996740,3.24,0.53,9.500000,6
2298,6.30,0.410,0.18,3.50,0.027,23.0,109.0,0.990180,3.34,0.54,12.800000,8
2299,7.00,0.320,0.31,6.40,0.031,38.0,115.0,0.992350,3.38,0.58,12.200000,7
2300,7.30,0.300,0.33,2.30,0.043,28.0,125.0,0.990840,3.34,0.44,12.600000,7
2301,6.60,0.220,0.28,12.05,0.058,25.0,125.0,0.998560,3.45,0.45,9.400000,5
2302,6.00,0.260,0.18,7.00,0.055,50.0,194.0,0.995910,3.21,0.43,9.000000,5
2303,6.90,0.440,0.18,11.80,0.051,26.0,126.0,0.997500,3.23,0.48,9.100000,5
2304,7.50,0.420,0.20,1.40,0.060,15.0,168.0,0.994400,3.06,0.40,9.400000,6
2305,7.00,0.360,0.30,5.00,0.040,40.0,143.0,0.991730,3.33,0.42,12.200000,7
2306,5.60,0.295,0.20,2.20,0.049,18.0,134.0,0.993780,3.21,0.68,10.000000,5
2307,6.80,0.210,0.55,14.60,0.053,34.0,159.0,0.998050,2.93,0.44,9.200000,5
2308,9.40,0.280,0.30,1.60,0.045,36.0,139.0,0.995340,3.11,0.49,9.300000,5
2309,8.10,0.280,0.34,1.30,0.035,11.0,126.0,0.992320,3.14,0.50,9.800000,6
2310,6.80,0.210,0.55,14.60,0.053,34.0,159.0,0.998050,2.93,0.44,9.200000,5
2311,7.00,0.220,0.26,2.80,0.036,44.0,132.0,0.990780,3.34,0.41,12.000000,7
2312,9.40,0.280,0.30,1.60,0.045,36.0,139.0,0.995340,3.11,0.49,9.300000,5
2313,6.80,0.320,0.30,3.30,0.029,15.0,80.0,0.990610,3.33,0.63,12.600000,7
2314,7.00,0.190,0.33,6.30,0.032,42.0,127.0,0.991820,3.31,0.38,12.200000,6
2315,7.70,0.420,0.38,8.10,0.061,49.0,144.0,0.996600,3.40,0.58,11.000000,6
2316,7.40,0.200,0.31,1.60,0.038,34.0,116.0,0.991200,3.25,0.39,12.000000,7
2317,7.50,0.240,0.62,10.60,0.045,51.0,153.0,0.997790,3.16,0.44,8.800000,5
2318,7.50,0.260,0.59,11.80,0.046,58.0,164.0,0.998140,3.17,0.46,8.900000,4
2319,6.60,0.400,0.32,1.70,0.035,39.0,84.0,0.990960,3.59,0.48,12.700000,7
2320,8.00,0.200,0.30,8.10,0.037,42.0,130.0,0.993790,3.10,0.67,11.800000,6
2321,4.60,0.445,0.00,1.40,0.053,11.0,178.0,0.994260,3.79,0.55,10.200000,5
2322,6.10,0.410,0.04,1.30,0.036,23.0,121.0,0.992280,3.24,0.61,9.900000,6
2323,7.60,0.200,0.34,1.80,0.041,42.0,148.0,0.993350,3.35,0.66,11.100000,6
2324,6.90,0.300,0.21,7.20,0.045,54.0,190.0,0.995950,3.22,0.48,9.400000,5
2325,7.00,0.350,0.17,1.10,0.049,7.0,119.0,0.992970,3.13,0.36,9.700000,6
2326,6.90,0.350,0.55,11.95,0.038,22.0,111.0,0.996870,3.11,0.29,9.700000,5
2327,7.00,0.350,0.17,1.10,0.049,7.0,119.0,0.992970,3.13,0.36,9.700000,6
2328,6.90,0.350,0.55,11.95,0.038,22.0,111.0,0.996870,3.11,0.29,9.700000,5
2329,7.60,0.300,0.40,2.20,0.054,29.0,175.0,0.994450,3.19,0.53,9.800000,5
2330,7.50,0.380,0.29,12.70,0.050,25.0,209.0,0.998600,3.25,0.59,9.300000,6
2331,7.50,0.300,0.32,1.40,0.032,31.0,161.0,0.991540,2.95,0.42,10.500000,5
2332,6.30,0.400,0.32,10.60,0.049,38.0,209.0,0.998100,3.47,0.59,9.300000,6
2333,6.80,0.370,0.28,1.90,0.024,64.0,106.0,0.989930,3.45,0.60,12.600000,8
2334,7.50,0.230,0.35,17.80,0.058,128.0,212.0,1.002410,3.44,0.43,8.900000,5
2335,8.30,0.270,0.34,10.20,0.048,50.0,118.0,0.997160,3.18,0.51,10.300000,5
2336,6.80,0.260,0.22,4.80,0.041,110.0,198.0,0.994370,3.29,0.67,10.600000,5
2337,6.50,0.280,0.35,9.80,0.067,61.0,180.0,0.997200,3.15,0.57,9.000000,4
2338,7.20,0.340,0.30,8.40,0.051,40.0,167.0,0.997560,3.48,0.62,9.700000,5
2339,7.00,0.230,0.26,7.20,0.041,21.0,90.0,0.995090,3.22,0.55,9.500000,6
2340,7.70,0.290,0.29,4.80,0.060,27.0,156.0,0.995720,3.49,0.59,10.300000,6
2341,7.20,0.340,0.30,8.40,0.051,40.0,167.0,0.997560,3.48,0.62,9.700000,5
2342,7.70,0.400,0.27,4.50,0.034,27.0,95.0,0.991750,3.21,0.59,12.300000,8
2343,6.70,0.170,0.27,1.40,0.032,39.0,149.0,0.992540,3.40,0.52,10.500000,5
2344,7.00,0.230,0.26,7.20,0.041,21.0,90.0,0.995090,3.22,0.55,9.500000,6
2345,8.10,0.240,0.26,11.00,0.043,41.0,211.0,0.996760,3.11,0.49,10.000000,6
2346,7.70,0.280,0.63,11.10,0.039,58.0,179.0,0.997900,3.08,0.44,8.800000,4
2347,7.50,0.230,0.29,2.60,0.031,24.0,98.0,0.991940,3.00,0.54,10.900000,6
2348,8.30,0.260,0.31,2.00,0.029,14.0,141.0,0.990770,2.95,0.77,12.200000,6
2349,7.90,0.460,0.40,10.10,0.168,19.0,184.0,0.997820,3.06,0.62,9.500000,5
2350,7.90,0.310,0.22,13.30,0.048,46.0,212.0,0.999420,3.47,0.59,10.000000,5
2351,7.90,0.250,0.34,11.40,0.040,53.0,202.0,0.997080,3.11,0.57,9.600000,6
2352,6.10,0.280,0.16,1.30,0.060,36.0,126.0,0.993530,3.13,0.46,8.700000,6
2353,7.00,0.180,0.26,1.40,0.044,46.0,89.0,0.992560,3.39,0.48,10.700000,7
2354,6.50,0.210,0.28,1.40,0.046,26.0,66.0,0.991990,3.43,0.48,11.100000,6
2355,7.60,0.480,0.33,7.00,0.024,14.0,130.0,0.991800,3.25,0.45,12.500000,7
2356,7.10,0.340,0.32,2.00,0.051,29.0,130.0,0.993540,3.30,0.50,10.400000,6
2357,8.90,0.210,0.37,1.20,0.028,20.0,93.0,0.992440,3.20,0.37,11.500000,5
2358,7.40,0.320,0.27,12.90,0.040,60.0,221.0,0.998310,3.05,0.66,9.400000,5
2359,6.00,0.495,0.27,5.00,0.157,17.0,129.0,0.993960,3.03,0.36,9.300000,5
2360,8.10,0.250,0.34,10.10,0.050,30.0,121.0,0.997240,3.17,0.49,10.100000,6
2361,8.20,0.250,0.46,3.75,0.050,14.0,102.0,0.995240,3.28,0.58,9.700000,5
2362,6.50,0.180,0.29,1.70,0.035,39.0,144.0,0.992700,3.49,0.50,10.500000,6
2363,6.70,0.240,0.26,12.60,0.053,44.0,182.0,0.998020,3.42,0.42,9.700000,5
2364,6.60,0.320,0.24,1.30,0.060,42.5,204.0,0.995120,3.59,0.51,9.200000,5
2365,7.60,0.320,0.35,1.60,0.092,24.0,138.0,0.994380,3.19,0.44,9.800000,5
2366,7.40,0.330,0.44,7.60,0.050,40.0,227.0,0.996790,3.12,0.52,9.000000,5
2367,7.20,0.300,0.30,8.10,0.050,40.0,188.0,0.996520,3.15,0.49,9.100000,6
2368,7.40,0.340,0.30,14.90,0.037,70.0,169.0,0.996980,3.25,0.37,10.400000,6
2369,6.10,0.160,0.29,6.00,0.030,29.0,144.0,0.994740,3.68,0.46,10.700000,6
2370,6.30,0.100,0.24,6.00,0.039,25.0,107.0,0.995110,3.59,0.49,10.500000,7
2371,6.20,0.450,0.73,7.20,0.099,47.0,202.0,0.995820,3.21,0.43,9.200000,5
2372,6.00,0.330,0.18,3.00,0.036,5.0,85.0,0.991250,3.28,0.40,11.500000,4
2373,7.60,0.480,0.37,1.20,0.034,5.0,57.0,0.992560,3.05,0.54,10.400000,3
2374,7.20,0.200,0.30,2.00,0.039,43.0,188.0,0.991100,3.30,0.41,12.000000,6
2375,7.00,0.320,0.29,4.90,0.036,41.0,150.0,0.991680,3.38,0.43,12.200000,6
2376,7.20,0.200,0.30,2.00,0.039,43.0,188.0,0.991100,3.30,0.41,12.000000,6
2377,7.00,0.220,0.29,8.90,0.050,24.0,90.0,0.995560,3.29,0.46,9.800000,6
